strasse;strassen_bez;herkunft;beschluss;gueltig_ab
4334;Ludwig-Richter-Straße;"Ludwig Richter (1803-1884), Zeichner und Radierer, bekannt durch seine Illustrationen von Kinderbücher.";1972-12-19;
3787;Windgassenstraße;"Johann Wilhelm Windgassen (1779-1852), Begründer der Friedrich-Wilhems-Hütte in Troisdorf.";2001-03-15;2001-04-25
2021;"Am Rheinblick";Flurname.;1934-01-02;
1807;Welckerstraße;"Friedrich Gottlieb Welcker (1784-1868), Archäologe, Professor an der Universität Bonn.";1931-08-29;
4604;"Am Höhnchen";Flurname.;1963-07-29;
4625;"Am Kurfürstenkreuz";"An dieser Straße steht ein historisches Wegekreuz.";1972-12-19;
2171;Hindenburgallee;"Paul von Beneckendorf und von Hindenburg (1847-1934), Generalfeldmarschall im Ersten Weltkrieg und zweiter Reichspräsident der Weimarer Republik 1925-1934.";1937-12-16;
3662;Christian-Kölbach-Straße;"Christian Kölbach (1898-1974), Kommunalpolitiker.";1985-09-17;1985-10-04
3181;Gartenstraße;;;
1131;Estermannstraße;"Ernst Estermann (1885-1949), Pfarrer in Graurheindorf.";1972-12-19;1975-06-27
3850;Simonstraße;"Simon Stecker, Gastwirt der Wolfsburg in der zweiten Hälfte des 19. Jahrhunderts.";;
3788;Reinold-Hagen-Straße;"Reinhold Hagen (1913-1990), Unternehmer, Gründer der Kautex-Werke, Bürgermeister von Holzlar 1948-1964.";2005-03-15;
3460;Rölsdorfstraße;"Rölsdorf, ehemaliger Ortsteil von Beuel.";1977-03-24;1978-01-01
2301;Neckarstraße;"Neckar, rechter Nebenfluss des Rheins.";1954-07-22;
3035;"Am Marienhof";"Nach dem sich dort befindlichen Marienhof.";1974-05-14;1974-06-28
4751;"Am Käferberg";Flurname.;;
2108;Welfenstraße;"Welfen, deutsches Herrschergeschlecht.";1977-03-24;1978-01-01
4317;"Küstriner Straße";"Küstrin an der Oder, Stadt in der ehemaligen preußischen Provinz Brandenburg, heute Kostrzyn nad Odra  in Polen.";1972-12-19;
3716;"Am Tanzberg";Flurname.;1972-12-19;
3200;Hangstraße;"Die Straße führt am westlichen Abhang des Ennerts entlang.";1963-11-06;
1315;"An der Pfaffenmütze";"Die so genannte Pfaffenmütze ist eine von holländischen Truppen 1620 auf einer Insel im Rhein errichtete Festung gegenüber der Kirche von Graurheindorf, die im Volksmund wegen ihres Aussehens ihren Namen erhielt.";1972-12-19;
1623;Quantiusstraße;"Adolf Quantius (1806-1860), Grundbesitzer in Bonn.";1872-07-19;
2170;Hermann-Löns-Straße;"Hermann Löns (1866-1914), Dichter.";1935-05-09;
2112;"An der Kommende";"In Muffendorf befand sich von 1254 bis zur Säkularisation 1802 eine Niederlassung des Deutschen Ordens.";1977-03-24;1978-01-01
3049;"An der Wolfsburg";"Nach der dort gelegenen ehemaligen Wasserburg, auch Gymnicher Haus genannt.";1991-02-13;
1775;Venusbergweg;"Venusberg, Ortsteil von Bonn. Venus stammt von Venne bezeichnet also einen Sumpf bzw. ein Moor.";;
1252;Friedrich-Hirzebruch-Allee;"Friedrich Hirzebruch: 17.10.1927 - 27.05.2012 gehört zu den bedeutendsten deutschen Mathematikern des 20. Jahrhunderts. Mit seiner Berufung an die Friedrich-Wilhelms Universität 1956 wurde Bonn zu einem internationalen Zentrum der mathematischen Entwicklung. Aus dem von ihm 1969 initiierten Sonderforschungsbereich 40 (Theoretische Mathematik) ging das Bonner Max-Planck-Institut hervor, das er bis 1995 leitete.";2019-09-19;2019-10-09
1024;"Am Buchenhang";Flurname.;1926-12-03;
3730;Friedensweg;;1961-09-14;
4246;"Hermannstädter Straße";"Hermannstadt, Stadt in Siebenbürgen (Rumänien, rumänischer Name Sibiu), auch Stadt in Tschechien (Hermanovice).";1981-11-24;
2388;Spiegelhofstraße;"Von der Familie von Spiegel gegründeter Hof. Franz Wilhelm von Spiegel (1753-1815) war Minister des letzten Kurfürsten von Köln.";1930-07-29;1930-10-01
3570;Therese-Giehse-Weg;"Therese Giehse (1898-1975), Schauspielerin, flüchtete 1933 in die Schweiz, spielte nach 1945 an west- und ostdeutschen Bühnen.";2006-01-25;
1454;Kranenweg;"Am nördlichen Ende des Bonner Hafens gelegen.";1926-12-03;
1652;Rittershausstraße;"Emil Rittershaus (1834-1897), Dichter.";;
2134;Gerhard-Rohlfs-Straße;"Gerhard Rohlfs (1831-1896), Afrikaforscher, gestorben in Rüngsdorf.";1898-05-20;
1410;Käthe-Kümmel-Straße;"Käthe Kümmel: 30.04.1905 - 30.04.1994/crlf/ Käthe Kümmel war die erste Frau, die sich 1944 an der 1936 gegründeten Mathematisch-Naturwissenschaftlichen Fakultät der Universität Bonn habilitieren konnte. Ihre Studien zur Bedrohung von Pflanzen durch Eingriffe in die Natur sowie ihre genaue Kartierung der Flora im Raum Bonn und Siebengebirge sind von bleibender Bedeutung. Sie übernahm von 1952 bis 1965 die Geschäftsführung des Naturhistorischen Vereins der Rheinlande und Westfalens/crlf/";2019-09-19;2019-10-09
4739;Augustinusstraße;"Augustinus (354-430), Heiliger, Kirchenlehrer.";1972-12-19;
2086;"Danziger Straße";"Danzig, Stadt an der Ostsee, heute Gdansk in Polen.";1953-07-21;
3835;Kalkuhlstraße;"Ernst Kalkuhl (1849-1918), gründete 1880 in Oberkassel eine Schule mit Internat, die heute Ernst-Kalkuhl-Gymnasium heißt.";1930-09-12;
1641;Remigiusstraße;"Remigius von Reims (um 436-533), Heiliger, Patron der 1806 abgebrochenen Pfarrkirche beim heutigen Remigiusplatz.";;
1748;"Trierer Straße";"Alte Römerstraße, die nach Trier führte.";1908-09-18;1908-09-24
1482;"Leipziger Straße";"Leipzig, Stadt in Sachsen.";1954-03-08;
3806;"Am Stingenberg";Flurname.;1953-10-01;
2194;"Im Pfirsichgarten";"Der Name soll an den Obstanbau in Muffendorf erinnern.";1964-04-28;
1636;"In der Raste";"Flurname. Raste bezeichnet eine Stelle, wo gerastet wird, besonders beim Berganstieg, Raste kann auch auf Wasser hinweisen.";1974-10-22;1978-01-01
1491;Mönkemöllerstraße;"Friedrich Paul Mönkemöller (1865-1935), Bonner Fabrikant.";1977-03-24;1978-01-01
1062;Arminiusstraße;"Arminius (Hermann der Cherusker) besiegte 9 n. Chr. die Römer in der so genannten Varus-Schlacht (angeblich im Teutoburger Wald).";1926-12-03;
2229;"Koblenzer Straße";;1907-01-04;
1234;Franziskanerstraße;"Das Franziskanerkloster in Bonn wurde 1641 gegründet und bestand bis 1802.";;
1660;Paul-Martini-Straße;"Paul Martini (1889-1964), Mediziner, Professor an der Universität Bonn.";1972-12-19;
1303;Heinrich-Böll-Ring;"Heinrich Böll (1917-1985), Schriftsteller, Nobelpreisträger für Literatur 1972.";1990-05-08;
4367;Clara-Viebig-Straße;"Clara Viebig (1860-1952), Schriftstellerin.";1981-10-27;
1292;Gandhistraße;"Mahatma Gandhi (1869-1948), indischer Freiheitskämpfer.";1966-03-31;
3215;Hermann-Gmeiner-Straße;"Hermann Gemeiner (1919-1986), österreichischer Sozialpädagoge, gründete 1949 das erste SOS-Kinderdorf.";1999-05-19;
2326;Löbestraße;"Paul Löbe (1875-1967), sozialdemokratischer Politiker, Reichstagspräsident 1920-1924 und 1925-1932,  Widerstandskämpfer gegen den Nationalsozialismus, Alterspräsident des Deutschen Bundestages 1949.";1977-03-24;1978-01-01
3170;Friedhofstraße;"Dieser Friedhof wurde 1907 von der Zivilgemeinde angelegt. Bis dahin gab es in Beuel nur den Friedhof der katholischen Kirchengemeinde St. Josef.";1963-11-06;
3765;Großenbuschstraße;"Flurname. Gemeint ist der große Wald des ehemaligen Stifts Vilich.";1971-09-14;1972-01-04
2121;Fourthweg;Flurname.;;
2274;"Marienforster Straße";"Führt an Gut Marienforst vorbei Richtung Pech.";1899-09-15;
4260;Hermann-Dienz-Straße;"Ernst Hermann Dienz (1891-1980), Bonner Kunstmaler, zeichnete seine Bilder mit Herm Dienz.";1985-01-29;1985-02-08
1289;Gustav-Oel-Straße;"Gustav Oel (1897-1952), Stadtverordneter.";;
1425;Katzenburgweg;"Zwischen Poppelsdorf und Endenich ehemals gelegene Katzenburg.";;
4222;"Rostocker Straße";"Rostock, Stadt in Mecklenburg-Vorpommern.";1964-03-19;
2352;Rotdornweg;;1964-06-09;
2415;Tulpenbaumweg;;1964-06-09;
1715;Stationsweg;"Station, Haltepunkt während einer Prozession, an dem Gebete gesprochen werden.";1953-02-05;
1843;Zitelmannstraße;"Ernst Zitelmann (1852-1923), Jurist, Professor an der Universität Bonn.";1929-10-12;
4335;Hardthöhe;"Flurname, Hardt bezeichnet einen bewaldeten Hang bzw. Anhöhe.";1951-02-01;
3635;Wagnergasse;"Richard Joachim Wagner (1917-2003), Begründer und langjähriger Leiter des Heimatmuseums Beuel.";2004-05-06;
2037;Arndtplatz;"Ernst Moritz Arndt (1769-1860), Publizist, Schriftsteller und Historiker, Professor an der Universität Bonn.";;
1587;Olof-Palme-Allee;"Olof Palme (1927-1986), Politiker, Ministerpräsident von Schweden 1969-1976 und 1982-1986.";1988-04-19;
3732;Ginsterweg;;;
3422;Petrusstraße;"An dieser Straße stand früher ein Heiligenhäuschen mit der Figur des Apostels Petrus, das heute unterhalb der Doppelkirche steht.";;
3724;Hardtweiherstraße;Flurname.;1977-03-24;1978-01-01
1640;Rehfuesstraße;"Philipp Joseph von Rehfuess (1779-1843), Theologe, erster Kurator der Rheinischen Friedrich-Wilhelms-Universität 1819.";1913-03-07;
1604;"Posener Weg";"Posen, Hauptstadt der gleichnamigen ehemaligen preußischen Provinz, heute Poznan in Polen.";1971-06-24;1971-08-09
3144;Erlenweg;;1953-12-21;
4842;"Am Dörnchen";;1996-12-17;
1112;Bonngasse;"Im 13./14 Jahrhundert heißt es in den Quellen nur Bunegasse (von dem Personenname Buno), später Bun-, Bon-, Bung- und Bongasse. Erst im 18. Jahrhundert, als man die ursprüngliche Bedeutung nicht mehr kannte, setzte sich der Name Bonngasse durch.";;
1621;Pützstraße;"Flurname. Pütz bezeichnet einen Brunnen.";;
1607;Paul-Clemen-Straße;"Paul Clemen (1866-1947), Kunsthistoriker, Professor an der Universität Bonn, Ehrenbürger der Stadt Bonn 1946.";1949-08-05;
1040;"Am Quirinusbrunnen";"Quirinus (gestorben um 115), Heiliger, Patron der Pfarrkirche Dottendorf, Straße am Brunnen, der nach dem Heiligen benannt worden ist.";1958-01-09;
1166;Dietkirchenstraße;"Nach der bereits für das 4. Jahrhundert nachweisbaren Diet(Volks)kirche im Bereich des römischen Legionslagers. Später dort auch das Benediktinerinnenkloster, später Kanonissenstift Dietkirchen, erstmals erwähnt 1015, aufgehoben 1802.";1910-05-20;1910-05-25
2330;"Am Schaumburger Hof";"Das seit 1755 bestehende Gasthaus Unter den Linden wurde zu Anfang des 20. Jahrhundert zu Ehren des Prinzen zu Schaumburg-Lippe umbenannt. Hier tagte am 05.09.1948 der Parlamentarische Rat.";1977-03-24;1978-01-01
3225;"Im Johdorf";"Flurname. Joh für hochliegend oder Joch.";1963-11-06;
4451;"Lessenicher Straße";"Lessenich, Ortsteil von Bonn.";1900-11-12;
1069;Albert-Schweitzer-Straße;"Albert Schweitzer (1875-1965), Tropenarzt, Theologe, Kulturphilosoph, Orgelbauer und Künstler, Schriftsteller, Friedensnobelpreis 1952.";1966-06-02;1966-07-14
3784;"Im Versteck";Flurname.;1994-01-19;
2047;Austraße;Flurname.;1893-07-12;
3386;Pilgerweg;"Wallfahrtsweg nach Pützchen bzw. Vilich.";1988-03-15;
2261;Lohrbergstraße;"Lohrberg, Berg im Siebengebirge.";1952-02-22;
4248;Martin-Görgens-Straße;"Martin Görgens (1793-1878), Landwirt und Gemeindevorsteher von Buschdorf 1840-1866.";1983-02-22;
3232;"Im Dohm";Flurname.;2002-12-05;
1392;Jagdweg;;;
4643;Wasserturmstraße;"Wasserturm, der ehemals in Ippendorf auf dem jetzigen Dorfplatz stand.";1963-07-29;
1458;Prinz-Albert-Straße;"Franz August Karl Albert Emmanuel von Sachsen-Coburg und Gotha (1819-1861), Prinzgemahl der Königin Victoria von England, war Student in Bonn.";1972-12-19;
4491;Blaumeisenweg;;1972-12-19;
1415;Kaiser-Karl-Ring;"Karl dem Großen (742-814).";1904-07-15;
1602;Pfarrer-Hürth-Straße;"Theodor Hubert Hürth (1841-1903), erster Pfarrer in Poppelsdorf, Erbauer der Pfarrkirche und des Marien-Hospitals.";1976-01-13;1976-02-13
1383;Carl-Duisberg-Straße;"Carl Duisberg (1861-1935), Chemiker und Industrieller.";1970-06-30;
4349;"Am Bruch";"Flurname. Bruch und Broich bezeichnen ein feuchtes Gelände.";2009-09-17;2009-12-02
1391;Jonas-Cahn-Straße;"Jonas Cahn (1748-1819), Bonner Bankier aus einer kurfürstlichen Hoffaktorenfamilie, der 1773 das erste Bonner Bankhaus gründet.";1972-12-19;
3123;Drachenfelsweg;"Drachenfels, Berg im Siebengebirge.";1956-03-20;
1806;Weiherstraße;"Ehemaliger Weiher.";;1903-01-01
3748;Kinkelplatz;"Johann Gottfried Kinkel (1815-1882), evangelischer Theologe und Politiker, Professor an der Universität Bonn, geboren in Oberkassel. Revolutionär von 1848/49, durch Carl Schurz 1850 aus der Festungshaft befreit. Ehemann von Johanna KInkel.";;
3024;Ankerbachtalweg;"Nach dem bei Oberholtorf entspringenden Ankerbach benannt.";;
1023;"Am Botanischen Garten";"Der Botanische Garten gehört zur Universität Bonn.";1904-07-15;
3857;Adrianstraße;"Johann Gabriel Adrian (1859 -1948), Steinbruchbesitzer, Ehrenbürger von Oberkassel 1929";1972-12-19;
1565;Nachtigallenweg;;;
2354;"Rüdesheimer Straße";"Rüdesheim, Stadt am Rhein.";1956-02-23;
2344;Rodderbergstraße;"Rodderberg, ein erloschener Vulkan an der Grenze zwischen Bonn-Mehlem und der Gemeinde Wachtberg.";1947-01-31;
1088;Beethovenplatz;"Ludwig van Beethoven (1770-1827), Komponist, geboren in Bonn.";;
3631;Wolkenburgweg;"Wolkenburg, Berg und Burgruine im Siebengebirge";1959-12-10;
4007;"Auf der Bitzen";"Flurname. Mundartlich op de Bitz, bezeichnet ein eingezäuntes Grundstück.";;
1514;"Prager Straße";"Prag, Hauptstadt von Tschechien.";1999-05-25;
3228;"Im Rheingarten";"Rheingarten und Rheinfeld sollten sich gegeneinander in der Bezeichnung abheben.";1964-04-15;
3086;Bröltalbahnweg;"Zwischen 1860 und 1954 befuhr eine Schmalspurbahn das Bröltal bis nach Waldbröl.";1984-08-28;
1233;Franz-Bücheler-Straße;"Franz Bücheler (1836-1908), Philologe, Professor an der Universität Bonn.";1953-02-05;
1666;Rosenstraße;;;
1183;"Budapester Straße";"Budapest, Hauptstadt von Ungarn. Seit 1991 besteht eine Städtepartnerschaft zwischen Stadtbezirk Bonn und Buda-Fok, XXII. Bezirk der Stadt Budapest.";1997-09-09;1997-09-25
3067;Bergweg;"Weg, der auch heute leicht ansteigt und auf den Hövelsberg führt.";;
1547;"Mondorfer Straße";"(Niederkassel-)Mondorf, Ort auf der rechten Rheinseite, in dessen Richtung die Straße führt.";1907-06-18;
2005;Ahrstraße;"Ahr, linker Nebenfluss des Rheins.";1950-05-25;
4243;Westpreußenstraße;"Westpreußen, ehemalige preußische Provinz, heute zu Polen gehörend.";1981-11-24;
2131;Fürstenbergstraße;"Familie von Fürstenberg, ehemalige Eigentümer der Kommende Muffendorf.";1959-11-30;
4365;Hankelstraße;"Hermann Hankel (1839-1873), Mathematiker.";1973-09-11;1973-10-08
4064;"Im Rosenhag";;1977-05-03;1978-01-01
3292;Kennedybrücke;"John F. Kennedy (1917-1963), Präsident der Vereinigten Staaten von Amerika 1961-1963. Die erste Bonner Rheinbrücke wurde zwischen 1896 und 1898 erbaut und 1945 gesprengt. Der Neubau von 1948/49 wurde auf den alten Pfeilern errichtet.";1963-12-02;
2250;Langenbergsweg;Flurname.;;
2367;Mendelssohnstraße;"Felix Mendelssohn-Bartholdy (1809-1847), Komponist.";1977-03-24;1978-01-01
1104;Blücherstraße;"Gebhard Leberecht von Blücher (1742-1819), preußischer Generalfeldmarschall.";;
1845;Zweimühlenweg;"Nach der dortigen Wind- und der Wassermühle.";1928-11-02;
3036;"An der Burg Lede";"Weg zu der in Urkunden des 12. Jahrhunderts erstmals erwähnten Wasserburg Lede.";1974-05-14;1974-06-28
4363;Professor-Huber-Straße;"Kurt Huber (1893-1943), Musikwissenschaftler, Professor in München, als Mitglied des Widerstandskreises Weiße Rose hingerichtet.";1965-05-21;
3405;Peter-Heider-Straße;"Peter Heider (1847-1924), Gutsbesitzer in Geislar, schenkte 1917 seinen Hof dem Orden der Cellitinnen, die dort 1922 von Vilich aus ein Kloster einrichteten.";1987-09-29;
4699;Max-Habermann-Straße;"Max Habermann (1885-1944), Buchhändler und Gewerkschaftler, als Widerstandskämpfer des 20. Juli 1944 hingerichtet.";1987-10-20;
2306;Nikolaus-Becker-Straße;"Nikolaus Becker (1809-1845), Dichter.";1895-12-20;
2256;"Ließemer Straße";"Liessem, Ortsteil der Gemeinde Wachtberg.";1935-05-09;
4609;"Auf dem Heidgen";Flurname.;1972-12-19;
2255;Wielandstraße;"Christoph Martin Wieland (1777-1819), Dichter.";1977-03-24;1978-01-01
1569;"Neuenahrer Straße";"Neuenahr, heuet Bad Neuenahr-Ahrweiler, Stadt südlich von Bonn.";;
4614;Fasanenweg;;1959-09-23;
1989;Helmut-Kohl-Allee;"Dr. Helmut Kohl: 03.04.1930-16.06.2017. Er war von 1969 bis 1976 Ministerpräsident von Rheinland-Pfalz. Von 1976 bis 1982  war er Vorsitzender der CDU/CSU-Bundestagsfraktion. Von 1982 bis 1998 war er der sechste Bundeskanzler der Bundesrepublik Deutschland. Am 25.10.1998 beschließen die Staats- und Regierungschefs der Europäischen Union, Helmut Kohl zum Ehrenbürger Europas zu ernennen.";2019-05-09;2019-05-22
3029;"Auf dem Hirschberg";"Ob die Bezeichnung sich auf das gleichnamige Tier oder die Hierzemännchen (Heinzelmännchen) bezieht, ist unklar. In rheinischen Sagen erscheinen die Heinzelmännchen häufig als Bewohner kleinerer Anhöhen, wie am Windmühlenberg bei Bornheim oder im Henessenberg bei Brenig.";;
1691;Schedestraße;"Max Schede (1844-1902), Mediziner, Professor an der Universität Bonn.";;
3705;Gielgenstraße;"Gielgen, Ortsteil von Bonn.";1972-12-19;
1108;Bonifatiusstraße;"Der hl. Bonifatius (672-755), Apostel Deutschlands.";1922-02-24;
1049;"An der Dransdorfer Burg";"Nach der dort gelegenen Burg, die vermutlich im 12. Jahrhundert entstand.";1961-03-02;
3526;"Schwarzer Weg";"Die Bezeichnung geht vermutlich auf die Farbe der Industrieabfälle zurück, mit denen der Weg früher befestigt worden war.";;
1397;Johannes-Müller-Straße;"Johannes Müller (1801-1858), Mediziner, Professor an der Universität Bonn.";1953-02-05;
2314;Pappelweg;;1964-06-09;
1783;Vogtsgasse;"Vogt, Vertreter von Feudalherren und kirchlichen Institutionen im Mittelalter.";;
1299;"Löwenberger Weg";"Löwenberg, Stadt in Schlesien, heute Lwowek Slaski in Polen.";1978-06-06;1978-07-29
1238;Fridtjof-Nansen-Straße;"Fridtjof Nansen (1861-1930), norwegischer Polarforscher, Zoologe und Philanthrop.";1961-10-26;
1576;Nordstraße;;1888-07-13;
2245;Kronprinzenstraße;"Die Namensgebung war als Ehrung des jeweiligen deutschen Thronfolgers gedacht, der meist an der Universität Bonn studierte, hier Kronprinz Wilhelm (1881-1951), Sohn des letzten deutschen Kaisers Wilhelm II.";1893-05-18;1893-05-25
4267;Anna-Schubring-Straße;"Anna Schubring (1848-1917), Gründerin und Leiterin der Schubringschen höheren Lehranstalt in Bonn 1870 sowie des Bonner Lehrerinnenvereins.";2006-01-24;
3214;Helene-Weber-Straße;"Helene Weber (1881-1962), Lehrerin, Mitglied des Parlamentarischen Rates 1948-1949, Mitglied des Bundestages 1949-1961, Erste Vorsitzende des Müttergenesungswerks 1959-1961.";1999-05-19;
3737;Heideweg;;1957-11-21;
1648;Richard-Wagner-Straße;"Richard Wagner (1813-1883), Komponist.";1900-08-06;1900-06-01
4037;Lindenweg;;;
2525;"Beckers Garten";"Der Name ist seit Jahrzehnten in Rüngsdorf und Bad Godesberg geläufig. Er lässt sich zurückführen auf den Garten einer im Haus Rheinstraße 35 von Auguste Becker und später von ihrem Sohn Ernst Becker betriebenen Fremdenpension.";2015-09-15;2015-09-30
3605;Von-Sandt-Straße;"Benannt nach den Bonner Landräten Karl von Sandt (1826-1890, 1854-1888) und Sohn Max von Sandt (1861-1918, 1888-1903).";;
1059;Annagraben;"Graben der Anna-Schanze der alten Bastionsbefestigung.";1890-09-05;
1667;Rosental;Flurname.;1886-09-24;
1228;"Flensburger Straße";"Flensburg, Stadt in Schleswig-Holstein.";1934-11-02;
4271;"Am Apfelbaum";"Im Bereich der Straße gab es früher Apfelplantagen.";2017-01-26;2017-03-08
1083;"Badener Straße";;1940-03-09;
1684;Salierweg;"Salier, Hauptstamm der Franken.";1949-08-05;
2166;Heinrich-Hertz-Straße;"Heinrich Hertz (1857-1894), Physiker, Professor an der Universität Bonn.";1958-02-06;
2315;Paracelsusstraße;"Bombastus Theophrastus von Hohenheim gen. Paracelsus (1493-1541), Arzt und Philosoph.";1962-03-12;1962-03-27
1849;Tulpenfeld;"Es handelt sich hierbei um eine in der Bevölkerung bereits verwendete Bezeichnung der Örtlichkeit. Bis zur Bebauung in den 1960er Jahren befand sich an dieser Stelle ein Tulpenfeld.";2000-05-04;
3707;Himmelsweg;"Flurname Im Himmel.";1972-12-19;
3141;Eichenweg;;1959-12-21;
1669;Rurweg;"Rur, Nebenfluss der Maas.";1955-02-03;
3037;"Hummerichs Bitze";"Flurname. Humme ist ein Hofmann, der ein grundherrliches Gut bewirtschaftete, Bitze bezeichnet ein abgegrenztes (eingefriedigtes) Feldstück, das zu diesem Hof gehörte.";1978-01-10;
2251;"Langer Grabenweg";;;
2403;Stümpchensweg;"Wohl stumpfer, kurzer Weg.";1895-01-04;
1351;Max-Cohen-Straße;"Max Cohen (1806-1865), Buchhändler und Mitbegründer des Verlages Henry & Cohen in Bonn.";1994-08-23;
3465;Rheinaustraße;;1977-03-24;1978-01-01
3623;Weidenweg;"Weg zur Schafsweide des Bonner Klosters Engeltal.";1963-11-06;
1473;Lambareneweg;"Lambarene, Ort in Gabun, an dem Albert Schweitzer seine Heilanstalten errichtete.";1960-10-06;
1241;Friedrich-Schultze-Straße;"Friedrich Schultze (1848-1934), Mediziner, Professor an der Universität Bonn, Direktor der Medizinischen Klinik 1888-1918.";1954-10-28;
1677;Rose-Marie-Wegner-Straße;"Rose-Marie-Wegner-Straße: 16.03.1924 - 13.04.2018/crlf/ Rose-Marie Wegner widmete sich während ihres Studiums der Agrarwissenschaften in Bonn (1949-1952) insbesondere der Hühneraufzucht. Ihr zentrales Forschungsinteresse lag im Ausgleich zwischen Profitinteressen und Tierwohl bei der zunehmend auf Technisierung setzenden Landwirtschaft. Sie war die erste Frau, die sich an der Landwirtschaftlichen Fakultät der Universität Bonn habilitieren konnte/crlf/";2019-09-19;2019-10-09
3201;Hans-Böckler-Straße;"Hans Böckler (1875-1951), Vorsitzender des Deutschen Gewerkschaftsbundes.";1956-03-20;
3003;Agnesstraße;"Agnes Trimborn (1851-1921), Erste Hauptlehrerin der Katholischen Mädchenschule (Volksschule) in Beuel 1886-1921.";;
2304;"Niersteiner Straße";"Nierstein, Stadt am Rhein.";1956-02-23;
3186;Glückstraße;"Die Flurnamen Auf dem Glück und Im Kohlenbroich erinnern an die frühere Braunkohlengewinnung";;
1304;Heinrich-Lützeler-Straße;"Heinrich Lützeler (1902-1988), Kunsthistoriker, Professor an der Universität Bonn.";1990-03-20;
2287;Michaelplatz;"Michael, Erzengel, Stadtpatron von Bad Godesberg.";1960-02-01;
1182;"Dottendorfer Allee";"Dottendorf, Ortsteil von Bonn.";1989-09-19;
3176;"Auf den Sauren Wiesen";"Alte Gewannenbezeichnung.";2014-03-20;2014-04-02
1574;Noeggerathstraße;"Johann Jakob Noeggerath (1788-1877), Geologe, Professor an der Universität Bonn.";1935-01-08;1935-12-01
2059;"Bernkasteler Straße";"Bernkastel, Weinstadt an der Mosel.";1956-02-23;
2433;Von-Sandt-Ufer;"Benannt nach den Bonner Landräten Karl von Sandt (1826-1890, 1854-1888) und Sohn Max von Sandt (1861-1918, 1888-1903).";1903-11-06;
3004;"Im Gesetz";"Flurname. Unter Gesetz wird hier eine neue Weinbergsanlage bzw. ein Stück Land, auf dem Rebsetzlinge herangezogen werden, verstanden.";1977-03-24;1978-01-01
1207;"Erste Fährgasse";;;
3713;"Am Quintengarten";Flurname.;1961-09-14;
1051;"An der Evangelischen Kirche";"Erster evangelischer Kirchenneubau in Bonn (1871).";1869-09-20;
2198;"Im Wiesengrund";;1933-07-07;
2075;"Am Büchel";Flurname.;1977-03-24;1978-01-01
1249;Fürstenstraße;"Kurfürst Josef Clemens (1721-1763 im Amt) hatte zu Beginn des Schlossbaues die Anlage einer auf den Mittelbau des Schlosses führenden Straße bis auf das Sterntor geplant; durchgeführt wurde nur ein Teil, die heutige Fürstenstraße.";;
3629;Wittestraße;"Karl Witte (1877-1950), Pfarrer an St. Maria und St. Clemens in Schwarzrheindorf 1918-1950.";1955-04-18;
4392;Fuchsweg;;1967-04-27;
3381;"Nesselroder Straße";"Die Grafen von Nesselrode sind im 18. Jahrhundert Eigentümer der Burg in Limperich und des Mylendonker Hofs.";1964-04-15;
1341;Viktoriabrücke;"Victoria Adelaide Mary Louisa von Sachsen-Coburg und Gotha (1840-1901), verheiratet mit dem deutschen Kaiser Friedrich III.; die Victoriabrücke über die Eisenbahnstrecke wurde 1904 erbaut.";;
2382;Simrockallee;"Nikolaus Simrock (1751-1823), Musiker, bzw. Karl Joseph Simrock (1802-1876), Dichter, Professor an der Universität Bonn (Germanist).";1977-03-24;1978-01-01
1193;Ehrlichstraße;"Paul Ehrlich (1915-1954), deutscher Mediziner, Nobelpreisträger 1908.";1952-10-10;1952-10-10
4816;Weidenpeschweg;"Flurname. Mit Weiden bepflanzter Wirtschaftsweg entlang des Duisdorfer Baches zur Meßdorfer Mühle. Pesch bedeutet eingezäunte, ertragreiche Wiese beim Haus.";;
4764;Dornierstraße;"Claudius Dornier (1884-1969), Flugzeugbauer.";1982-07-06;
1594;Oppenhoffstraße;"Karl Edmund Joseph Oppenhoff (1807-1854), Oberbürgermeister von Bonn 1840-1850.";1896-07-08;
3603;Von-Ketteler-Straße;"Wilhelm Emanuel Freiherr von Ketteler (1811-1877), Bischof von Mainz,  Zentrumspolitiker und Sozialreformer.";1963-11-06;
4272;"Im großen Garten";"Im Bereich der neuen Straße gab es früher eine Obstplantage.";2017-01-26;2017-03-08
3206;Helenenstraße;"Helene March (1864-1941), Gattin des Industriellen Albert March (1859-1927) aus Berlin-Charlottenburg, der um 1910 mit dem Bau dieser Straße, aber auch mit Teilen der Hoch-, Ring und Königsheim-Straße auf eigenem Grund und Boden begann.";;
1333;Hein-Moeller-Straße;"Hein - eigentlich August Heinrich - Möller (1882-1981), Fabrikant, Inhaber einer Fabrik für Elektroteile in Bonn.";1973-04-17;1973-05-29
4216;Aegidienstraße;"Aegidius, Heiliger, Schutzpatron von Buschdorf";1977-03-24;1978-01-01
3087;Bundesgrenzschutzstraße;"Straße zur Kaserne des Bundesgrenzschutzes (seit 2005 Bundespolizei).";1988-03-15;
2055;Belderbuschstraße;"Caspar Anton von Belderbusch (1722-1784), Premierminister von Kurköln, sein Neffe Anton Maria Karl von Belderbusch (1758-1820) war Bürgermeister von Bonn 1804-1816.";1968-09-04;
1091;Bendenweg;"Benden sind eingezäunte, zumeist feuchte Wiesen.";;
